# l   Dl_TT   Dl_TE   Dl_EE
2.260000000000000000e+02 6.770108661004500163e+02 6.414134982433906451e+00 2.341926340025626552e-01
2.270000000000000000e+02 6.750632884043498052e+02 6.635345213618083271e+00 2.432424254083468962e-01
2.280000000000000000e+02 6.730343796425422624e+02 6.855576594126547185e+00 2.526047423097181888e-01
2.290000000000000000e+02 6.709249328316757328e+02 7.074728458172658385e+00 2.622807736516052923e-01
2.300000000000000000e+02 6.687357786645294482e+02 7.292698802584755668e+00 2.722715972386741679e-01
2.310000000000000000e+02 6.664677858391772816e+02 7.509384282578500880e+00 2.825781780764912154e-01
2.320000000000000000e+02 6.641218613881526380e+02 7.724680207529230458e+00 2.932013667126874834e-01
2.330000000000000000e+02 6.616989510076133456e+02 7.938480536744299876e+00 3.041418975781214895e-01
2.340000000000000000e+02 6.592000393865047272e+02 8.150677875235432523e+00 3.154003873280429859e-01
2.350000000000000000e+02 6.566261505357252872e+02 8.361163469491055267e+00 3.269773331832567242e-01
2.360000000000000000e+02 6.539783481172905795e+02 8.569827203248660652e+00 3.388731112712854432e-01
2.370000000000000000e+02 6.512577357734977568e+02 8.776557593267142465e+00 3.510879749675339667e-01
2.380000000000000000e+02 6.484654574560900073e+02 8.981241785099149055e+00 3.636220532364524138e-01
2.390000000000000000e+02 6.456026977554205359e+02 9.183765548863418005e+00 3.764753489726995195e-01
2.400000000000000000e+02 6.426706822296188193e+02 9.384013275017140998e+00 3.896477373423068435e-01
2.410000000000000000e+02 6.396706777337518588e+02 9.581867970128298495e+00 4.031389641238413701e-01
2.420000000000000000e+02 6.366039927489921411e+02 9.777211252647999729e+00 4.169486440495697721e-01
2.430000000000000000e+02 6.334719777117787771e+02 9.969923348682842246e+00 4.310762591466215654e-01
2.440000000000000000e+02 6.302760253429846671e+02 1.015988308776725724e+01 4.455211570781527075e-01
2.450000000000000000e+02 6.270175709770793446e+02 1.034696789863585309e+01 4.602825494845093068e-01
2.460000000000000000e+02 6.236980928912938680e+02 1.053105380499575361e+01 4.753595103243906106e-01
2.470000000000000000e+02 6.203191126347851423e+02 1.071201542129895401e+01 4.907509742160131583e-01
2.480000000000000000e+02 6.168821953578005832e+02 1.088972594851466624e+01 5.064557347782737695e-01
2.490000000000000000e+02 6.133889501408423257e+02 1.106405716990166610e+01 5.224724429719136420e-01
2.500000000000000000e+02 6.098409503994631677e+02 1.123488886288075506e+01 5.387993661383040367e-01
2.510000000000000000e+02 6.062394893251637313e+02 1.140213764573783983e+01 5.554336531181252035e-01
2.520000000000000000e+02 6.025858109673563376e+02 1.156572978780227601e+01 5.723720234918632244e-01
2.530000000000000000e+02 5.988811890629051504e+02 1.172559195688321410e+01 5.896110009597629320e-01
2.540000000000000000e+02 5.951269272124493455e+02 1.188165123304885462e+01 6.071469112253634615e-01
2.550000000000000000e+02 5.913243590567223009e+02 1.203383512240565878e+01 6.249758798790293612e-01
2.560000000000000000e+02 5.874748484528738572e+02 1.218207157087759818e+01 6.430938302814855900e-01
2.570000000000000000e+02 5.835797896507904170e+02 1.232628897798537615e+01 6.614964814473511812e-01
2.580000000000000000e+02 5.796406074694168638e+02 1.246641621062565797e+01 6.801793459286711307e-01
2.590000000000000000e+02 5.756587574730770029e+02 1.260238261685030281e+01 6.991377276984513944e-01
2.600000000000000000e+02 5.716357261477945713e+02 1.273411803964560107e+01 7.183667200341918857e-01
2.610000000000000000e+02 5.675730310776143597e+02 1.286155283071149746e+01 7.378612034014201404e-01
2.620000000000000000e+02 5.634722211209232228e+02 1.298461786424082298e+01 7.576158433372237599e-01
2.630000000000000000e+02 5.593348765867716565e+02 1.310324455069853933e+01 7.776250883337854081e-01
