# l   cl_TT   cl_TE   cl_EE
2.260000000000000000e+02 8.069511285003227385e+02 1.421546754509494193e+00 1.157191208166912927e-01
2.270000000000000000e+02 8.072381315063942111e+02 1.628388016007513039e+00 1.184834089699798865e-01
2.280000000000000000e+02 8.074474943703934287e+02 1.836871268220649389e+00 1.214355264453278044e-01
2.290000000000000000e+02 8.075792051245413177e+02 2.046932851428097333e+00 1.245790860279103879e-01
2.300000000000000000e+02 8.076332710889674900e+02 2.258507361532205326e+00 1.279177144120672571e-01
2.310000000000000000e+02 8.076097190521817311e+02 2.471527635685839996e+00 1.314550519711338017e-01
2.320000000000000000e+02 8.075085954515520825e+02 2.685924737919751060e+00 1.351947525272731154e-01
2.330000000000000000e+02 8.073299665537773535e+02 2.901627944769939571e+00 1.391404831213078619e-01
2.340000000000000000e+02 8.070739186353623609e+02 3.118564730905018845e+00 1.432959237825519871e-01
2.350000000000000000e+02 8.067405581630930556e+02 3.336660754753582925e+00 1.476647672986423354e-01
2.360000000000000000e+02 8.063300119745103984e+02 3.555839844131570171e+00 1.522507189853705700e-01
2.370000000000000000e+02 8.058424274583860552e+02 3.776023981869628177e+00 1.570574964565150666e-01
2.380000000000000000e+02 8.052779727351964993e+02 3.997133291440480907e+00 1.620888293936725844e-01
2.390000000000000000e+02 8.046368368375973432e+02 4.219086022586290952e+00 1.673484593160897427e-01
2.400000000000000000e+02 8.039192298908993735e+02 4.441798536946029330e+00 1.728401393504955252e-01
2.410000000000000000e+02 8.031253832935416312e+02 4.665185293682835521e+00 1.785676340009322849e-01
2.420000000000000000e+02 8.022555498975674482e+02 4.889158835111382828e+00 1.845347189185879699e-01
2.430000000000000000e+02 8.013100041890977536e+02 5.113629772325251288e+00 1.907451806716277398e-01
2.440000000000000000e+02 8.002890424688073381e+02 5.338506770824282377e+00 1.972028165150258583e-01
2.450000000000000000e+02 7.991929830323989563e+02 5.563696536141947924e+00 2.039114341603973923e-01
2.460000000000000000e+02 7.980221663510772032e+02 5.789103799472725242e+00 2.108748515458299944e-01
2.470000000000000000e+02 7.967769552520238676e+02 6.014631303299442955e+00 2.180968966057155733e-01
2.480000000000000000e+02 7.954577350988733997e+02 6.240179787020659674e+00 2.255814070405823546e-01
2.490000000000000000e+02 7.940649139721861047e+02 6.465647972578030256e+00 2.333322300869263566e-01
2.500000000000000000e+02 7.925989174809458291e+02 6.690938151224254504e+00 2.413528857323658239e-01
2.510000000000000000e+02 7.910601724924822520e+02 6.915973331045198513e+00 2.496455352819399454e-01
2.520000000000000000e+02 7.894491228139373789e+02 7.140681051313361394e+00 2.582119528082257309e-01
2.530000000000000000e+02 7.877662346460598428e+02 7.364987866768664126e+00 2.670538554795421904e-01
2.540000000000000000e+02 7.860119967534138823e+02 7.588819343957172947e+00 2.761729026861718950e-01
2.550000000000000000e+02 7.841869206345841121e+02 7.812100057569794309e+00 2.855706951665818449e-01
2.560000000000000000e+02 7.822915406923852970e+02 8.034753586780993828e+00 2.952487741336450311e-01
2.570000000000000000e+02 7.803264144040688279e+02 8.256702511587510784e+00 3.052086204008616632e-01
2.580000000000000000e+02 7.782921224915294260e+02 8.477868409147056639e+00 3.154516535085801765e-01
2.590000000000000000e+02 7.761892690915133244e+02 8.698171850117025983e+00 3.259792308502186264e-01
2.600000000000000000e+02 7.740184819258251991e+02 8.917532394993212819e+00 3.367926467984859729e-01
2.610000000000000000e+02 7.717804124715355556e+02 9.135868590448525950e+00 3.478931318316031973e-01
2.620000000000000000e+02 7.694757361311880004e+02 9.353097965671672398e+00 3.592818516595244760e-01
2.630000000000000000e+02 7.671051524030068549e+02 9.569137028705902992e+00 3.709599063501587968e-01
